config_id,step_dist,add_dist,max_adds,reversal_target,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,exit_type,progress_hwm,time_between_adds,cycle_day_seq,cycle_start_hour,progress_at_adds,prev_cycle_exit_type,cycle_waste_pct,would_flatten_reseed,half_block_profit
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1083,2025-11-17 10:33:05.964018,2025-11-17 10:44:27.348011,16184,11.36,17144994,17161177,SHORT,1,2,-300.0,-308.0,29.5,-37.5,10.5375,75.0,13.5,32.825,1.0,10.375,FAILURE,39.5,,18,10,-50.0,FAILURE,93.73,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1084,2025-11-17 10:44:27.348011,2025-11-17 10:52:02.714000,11065,7.59,17161177,17172241,LONG,1,2,-300.0,-308.0,22.5,-37.5,11.05,83.30000000000001,12.625,35.05,1.0,11.375,FAILURE,45.0,,19,10,-50.0,FAILURE,59.63,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1085,2025-11-17 10:52:02.714000,2025-11-17 11:01:32.838017,11430,9.5,17172241,17183670,SHORT,1,2,340.0,332.0,42.5,-31.25,11.325,89.60000000000001,15.0,32.525000000000006,1.0,11.875,SUCCESS,60.0,,20,10,-50.0,FAILURE,110.1333,False,298.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1086,2025-11-17 11:01:32.838017,2025-11-17 11:08:03.530007,9355,6.51,17183670,17193024,LONG,1,2,-300.0,-308.0,11.75,-37.5,10.0375,33.800000000000004,19.75,40.00000000000001,1.0,9.875,FAILURE,23.5,,21,11,-50.0,SUCCESS,48.63,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1087,2025-11-17 11:08:03.530007,2025-11-17 11:15:17.201025,10583,7.23,17193024,17203606,SHORT,1,2,341.0,333.0,42.625,-25.25,9.425,13.0,13.875,30.050000000000015,1.0,9.625,SUCCESS,60.0,,22,11,-50.5,FAILURE,85.7167,False,299.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1088,2025-11-17 11:15:17.201025,2025-11-17 11:26:03.441002,15382,10.77,17203606,17218987,LONG,0,1,120.0,116.0,30.0,-23.0,8.55,2.8000000000000003,10.25,24.675000000000004,1.0,7.375,SUCCESS,60.0,,23,11,,SUCCESS,126.75,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1089,2025-11-17 11:26:03.441002,2025-11-17 11:28:26.154000,4099,2.38,17218987,17223085,SHORT,1,2,-300.0,-308.0,12.0,-37.5,9.75,29.8,13.75,28.92500000000001,1.0,9.625,FAILURE,24.0,,24,11,-50.0,SUCCESS,20.23,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1090,2025-11-17 11:28:26.154000,2025-11-17 11:30:02.418010,2603,1.6,17223085,17225687,LONG,0,1,120.0,116.0,30.0,-1.0,9.65,28.5,13.75,37.525000000000006,1.0,9.625,SUCCESS,60.0,,25,11,,FAILURE,22.2667,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1091,2025-11-17 11:30:02.418010,2025-11-17 11:40:23.376006,13372,10.35,17225687,17239058,SHORT,1,2,-300.0,-308.0,13.25,-37.5,8.65,12.600000000000001,16.5,37.525000000000006,1.0,8.375,FAILURE,26.5,,26,11,-50.0,SUCCESS,71.52,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1092,2025-11-17 11:40:23.376006,2025-11-17 11:47:01.096023,8114,6.63,17239058,17247171,LONG,0,1,120.0,116.0,30.0,0.0,9.2,27.0,10.125,36.85000000000001,1.0,9.25,SUCCESS,60.0,,27,11,,FAILURE,59.5333,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1093,2025-11-17 11:47:01.096023,2025-11-17 12:19:17.683004,31433,32.28,17247171,17278603,SHORT,1,2,340.0,332.0,42.5,-30.5,9.2625,33.300000000000004,10.125,23.750000000000018,1.0,8.75,SUCCESS,60.0,,28,11,-50.0,SUCCESS,236.05,False,298.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1094,2025-11-17 12:19:17.683004,2025-11-17 12:22:38.825000,3523,3.35,17278603,17282125,LONG,0,1,120.0,116.0,30.0,-4.75,9.75,66.9,17.5,22.925000000000004,1.0,9.625,SUCCESS,60.0,,29,12,,SUCCESS,27.6333,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1095,2025-11-17 12:22:38.825000,2025-11-17 12:28:46.092005,4789,6.12,17282125,17286913,SHORT,0,1,120.0,116.0,30.0,-3.5,9.4375,56.300000000000004,18.0,23.250000000000007,1.0,9.375,SUCCESS,60.0,,30,12,,SUCCESS,40.1167,False,101.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1096,2025-11-17 12:28:46.092005,2025-11-17 12:30:08.381001,1299,1.37,17286913,17288211,LONG,0,1,120.0,116.0,30.0,-1.5,9.85,74.4,16.375,25.050000000000004,1.0,9.625,SUCCESS,60.0,,31,12,,SUCCESS,9.0667,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1097,2025-11-17 12:30:08.381001,2025-11-17 12:37:37.798001,5849,7.49,17288211,17294059,SHORT,0,1,121.0,117.0,30.25,-6.75,9.6,65.0,18.0,26.85,1.0,9.25,SUCCESS,60.5,,32,12,,SUCCESS,51.0,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1098,2025-11-17 12:37:37.798001,2025-11-17 12:41:43.727001,5121,4.1,17294059,17299179,LONG,1,2,-300.0,-308.0,3.5,-37.5,9.7625,73.2,18.0,27.075000000000003,1.0,9.0,FAILURE,7.0,,33,12,-50.0,SUCCESS,22.2,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1099,2025-11-17 12:41:43.727001,2025-11-17 12:45:27.065000,5456,3.72,17299179,17304634,SHORT,1,2,340.0,332.0,42.5,-25.0,7.8,11.100000000000001,14.5,29.225000000000023,1.0,7.875,SUCCESS,60.0,,34,12,-50.0,FAILURE,37.95,False,298.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1100,2025-11-17 12:45:27.065000,2025-11-17 12:49:46.561006,5684,4.32,17304634,17310317,LONG,0,1,120.0,116.0,30.0,-9.5,8.0375,16.6,13.375,29.225000000000023,1.0,8.125,SUCCESS,60.0,,35,12,,SUCCESS,47.5667,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1101,2025-11-17 12:49:46.561006,2025-11-17 12:50:31.995082,1167,0.76,17310317,17311483,SHORT,0,1,120.0,116.0,30.0,-0.75,8.425,33.1,12.125,43.22500000000001,1.0,8.375,SUCCESS,60.0,,36,12,,SUCCESS,8.1833,False,101.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1102,2025-11-17 12:50:31.995082,2025-11-17 12:59:57.718000,9859,9.43,17311483,17321341,LONG,1,2,-300.0,-308.0,14.0,-37.5,9.225,61.2,10.75,43.22500000000001,1.0,8.625,FAILURE,28.0,,37,12,-50.0,SUCCESS,49.72,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1103,2025-11-17 12:59:57.718000,2025-11-17 13:02:10.169000,3357,2.21,17321341,17324697,SHORT,0,1,120.0,116.0,30.0,-4.75,8.025,20.5,11.5,33.500000000000014,1.0,8.25,SUCCESS,60.0,,38,12,,FAILURE,25.7167,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1104,2025-11-17 13:02:10.169000,2025-11-17 13:10:27.282019,10083,8.29,17324697,17334779,LONG,0,1,120.0,116.0,30.0,-13.75,6.975,3.6,11.5,28.22500000000001,1.0,6.625,SUCCESS,60.0,,39,13,,SUCCESS,79.0667,False,100.0
