hypothesis_id	hypothesis_name	dimension	source_id	cycle_pf	delta_pf	total_pnl_ticks	delta_pnl	n_cycles	win_rate	sharpe	max_drawdown_ticks	avg_winner_ticks	avg_loser_ticks	beats_baseline	feature_compute_sec	simulator_sec	total_sec	classification
H39	Cycle adverse velocity ratio	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1057	8.9473	9.0531	OK
H40	Band-relative speed regime	C	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0504	8.4819	8.5323	OK
H40	Band-relative speed regime	C	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0469	8.0035	8.0504	OK
H40	Band-relative speed regime	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1328	8.1544	8.2873	OK
H41	Band-relative ATR behavior	C	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0363	8.412	8.4483	OK
H41	Band-relative ATR behavior	C	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0338	7.9413	7.9751	OK
H41	Band-relative ATR behavior	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1049	8.1118	8.2168	OK
H13	Selective flat periods	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.032	8.3892	8.4212	OK
H13	Selective flat periods	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0462	7.8864	7.9326	OK
H13	Selective flat periods	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1159	8.0638	8.1797	OK
H14	Adaptive martingale progression	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0356	8.3747	8.4104	OK
H14	Adaptive martingale progression	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0347	7.8547	7.8894	OK
H14	Adaptive martingale progression	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1069	8.0555	8.1624	OK
H15	Alternative anchor strategies	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0342	8.3942	8.4284	OK
H15	Alternative anchor strategies	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0333	7.8799	7.9132	OK
H15	Alternative anchor strategies	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1094	8.052	8.1613	OK
H20	Partial rotation	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0354	8.3601	8.3956	OK
H20	Partial rotation	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0334	7.8875	7.9209	OK
H20	Partial rotation	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1063	8.0196	8.1259	OK
H21	Cycle profit target	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0352	8.4197	8.4549	OK
H21	Cycle profit target	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0336	7.8624	7.896	OK
H21	Cycle profit target	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1069	8.05	8.157	OK
H22	Cycle time decay	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0352	8.3531	8.3884	OK
H22	Cycle time decay	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0338	7.8888	7.9226	OK
H22	Cycle time decay	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1049	8.0619	8.1669	OK
H23	Conditional adds	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0331	8.4031	8.4362	OK
H23	Conditional adds	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0339	7.86	7.8939	OK
H23	Conditional adds	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1082	8.0914	8.1996	OK
H24	Intra-cycle de-escalation	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0348	8.3487	8.3835	OK
H24	Intra-cycle de-escalation	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0357	7.8513	7.8871	OK
H24	Intra-cycle de-escalation	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1062	8.0154	8.1217	OK
H25	Higher-timeframe context	D	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0352	8.3555	8.3907	OK
H25	Higher-timeframe context	D	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0333	7.8424	7.8758	OK
H25	Higher-timeframe context	D	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1044	8.0537	8.1581	OK
