config_id,approach,step_dist,add_dist,confirm_dist,max_adds,add_size,cycle_count,win_count,loss_count,win_rate,gross_pnl,net_pnl,total_costs,npf_gross,npf_net,avg_win_net,avg_loss_net,max_drawdown_ticks,profit_per_dd,max_position,avg_cycle_duration_bars,cycles_0_adds,cycles_1_add,cycles_multi_add,pnl_0_adds,pnl_1_add,pnl_multi_add,flatten_reseed_would_fire,incomplete_cycles,incomplete_unrealized_pnl
B_SD30_AD15.0_MA2,B,30.0,15.0,0.0,2,1,553,553,0,1.0,88807.0,84187.0,4620.0,999.0,999.0,152.2369,0.0,0.0,999.0,3,19010.45,180,144,229,20914.0,24801.0,38472.0,137,59,-107896.0
B_SD30_AD15.0_MA3,B,30.0,15.0,0.0,3,1,764,764,0,1.0,110142.0,103034.0,7108.0,999.0,999.0,134.8613,0.0,0.0,999.0,4,15880.83,260,194,310,30223.0,33434.0,39377.0,200,59,-128785.0
B_SD30_AD15.0_MA4,B,30.0,15.0,0.0,4,1,1030,841,189,0.816504854368932,124239.0,113687.0,10552.0,851.9521,29.9575,139.849,-20.7725,67.0,1696.8209,5,13478.22,347,243,440,40326.0,41913.0,31448.0,297,59,-138141.0
B_SD30_AD30.0_MA1,B,30.0,30.0,0.0,1,1,481,481,0,1.0,57813.0,55049.0,2764.0,999.0,999.0,114.447,0.0,0.0,999.0,2,22727.89,271,210,0,31474.0,23575.0,0.0,47,59,-66850.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,2,1,774,601,173,0.7764857881136951,72283.0,67035.0,5248.0,2330.7097,33.78,114.9418,-11.8208,43.0,1558.9535,3,17308.17,409,192,173,47524.0,21556.0,-2045.0,71,59,-79000.0
B_SD30_AD30.0_MA3,B,30.0,30.0,0.0,3,1,1016,778,238,0.765748031496063,65436.0,57984.0,7452.0,3.337,2.8511,114.7918,-131.6134,1043.0,55.5935,4,17143.74,525,252,239,61018.0,28280.0,-31314.0,117,59,-75073.0
B_SD30_AD30.0_MA4,B,30.0,30.0,0.0,4,1,1269,963,306,0.7588652482269503,48554.0,38782.0,9772.0,1.7251,1.5417,114.6147,-233.9608,2337.0,16.5948,5,16677.91,643,317,309,74746.0,35613.0,-71577.0,159,59,-51294.0
B_SD35_AD14.0_MA1,B,35.0,14.0,0.0,1,1,323,323,0,1.0,61889.0,59809.0,2080.0,999.0,999.0,185.1672,0.0,0.0,999.0,2,30835.27,126,197,0,17214.0,42595.0,0.0,94,59,-68488.0
B_SD35_AD14.0_MA2,B,35.0,14.0,0.0,2,1,448,448,0,1.0,92662.0,88930.0,3732.0,999.0,999.0,198.5045,0.0,0.0,999.0,3,24677.26,157,97,194,21406.0,20958.0,46566.0,125,59,-101542.0
B_SD35_AD14.0_MA3,B,35.0,14.0,0.0,3,1,563,563,0,1.0,112329.0,106857.0,5472.0,999.0,999.0,189.7993,0.0,0.0,999.0,4,20581.54,191,115,257,26006.0,24857.0,55994.0,177,59,-130308.0
