trade_id,mode,datetime,direction,touch_type,source_label,zone_top,zone_bot,zone_width_ticks,entry_type,entry_price,stop_ticks,t1_ticks,t2_ticks,stop_price,t1_target_price,t2_target_price,leg1_exit_type,leg1_pnl_ticks,leg2_exit_type,leg2_pnl_ticks,weighted_pnl,bars_held,mfe_ticks,mae_ticks
ZB_0024,CT,1/14/2026 13:36:09,LONG,DEMAND_EDGE,15m,25431.75,25406.50,101.0,LIMIT_5T,25430.50,152,50,101,25392.50,25443.00,25455.75,TARGET_1,50.00,TARGET_2,101.00,63.8300,25,108.00,39.00
ZB_0025,CT,1/14/2026 14:04:15,LONG,DEMAND_EDGE,15m,25497.50,25420.75,307.0,LIMIT_5T,25496.25,460,154,307,25381.25,25534.75,25573.00,TARGET_1,154.00,TIMECAP,65.00,121.6300,160,180.00,143.00
ZB_0026,WTNT,1/15/2026 09:54:35,SHORT,SUPPLY_EDGE,30m,25952.75,25900.25,210.0,MARKET,25899.25,315,105,210,25978.00,25873.00,25846.75,TARGET_1,105.00,TARGET_2,210.00,136.6500,81,218.00,75.00
ZB_0027,WTNT,1/15/2026 11:12:51,SHORT,SUPPLY_EDGE,60m,25952.75,25900.25,210.0,MARKET,25899.75,315,105,210,25978.50,25873.50,25847.25,TIMECAP,-134.00,TIMECAP,-134.00,-137.0000,160,71.00,150.00
ZB_0028,CT,1/15/2026 12:18:46,SHORT,SUPPLY_EDGE,30m,25952.75,25900.25,210.0,LIMIT_5T,25901.50,315,105,210,25980.25,25875.25,25849.00,TARGET_1,105.00,TARGET_2,210.00,136.6500,110,211.00,34.00
ZB_0029,CT,1/15/2026 15:39:25,LONG,DEMAND_EDGE,30m,25693.25,25673.75,78.0,LIMIT_5T,25692.00,120,39,78,25662.00,25701.75,25711.50,TARGET_1,39.00,TARGET_2,78.00,48.8700,8,83.00,20.00
ZB_0030,WTNT,1/16/2026 09:01:16,SHORT,SUPPLY_EDGE,30m,25853.00,25836.75,65.0,MARKET,25834.25,120,32,65,25864.25,25826.25,25818.00,TARGET_1,32.00,STOP,-120.00,-21.1600,42,45.00,151.00
ZB_0031,CT,1/20/2026 15:59:52,LONG,DEMAND_EDGE,15m,25129.25,25098.00,125.0,LIMIT_5T,25128.00,188,62,125,25081.00,25143.50,25159.25,TARGET_1,62.00,TARGET_2,125.00,79.7900,64,157.00,3.00
ZB_0032,CT,1/20/2026 16:33:16,LONG,DEMAND_EDGE,15m,25129.25,25098.00,125.0,LIMIT_5T,25128.00,188,62,125,25081.00,25143.50,25159.25,TARGET_1,62.00,TARGET_2,125.00,79.7900,18,176.00,22.00
ZB_0033,CT,1/22/2026 07:27:12,SHORT,SUPPLY_EDGE,15m,25714.00,25688.75,101.0,LIMIT_5T,25690.00,152,50,101,25728.00,25677.50,25664.75,TARGET_1,50.00,STOP,-152.00,-19.6600,56,75.00,159.00
