rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
96170,WTNT,-1,164.0,24811.25,106.06,35,TARGET_1,82.0,TARGET_2,164.0,166.0,102.0,82,164,246,96171,96205,20.83,WT,30m
99103,WTNT,1,679.0,24550.00,326.11,161,TARGET_1,340.0,END_OF_DATA,307.0,341.0,210.0,340,679,1018,99104,99264,19.380000000000003,WT,30m
101989,CT,1,802.0,24706.25,530.33,64,TARGET_1,401.0,TARGET_2,802.0,815.0,122.0,401,802,1203,101990,102053,19.87,CT,120m
105356,CT,1,265.0,24207.50,172.89000000000001,10,TARGET_1,132.0,TARGET_2,265.0,309.0,8.0,132,265,398,105357,105366,17.66,CT,60m
116191,WTNT,-1,121.0,25330.75,77.13,19,TARGET_1,60.0,TARGET_2,121.0,121.0,47.0,60,121,182,116192,116210,16.900000000000002,WT,15m
116228,WTNT,-1,121.0,25324.25,1.5600000000000023,161,TARGET_1,60.0,END_OF_DATA,-108.0,66.0,146.0,60,121,182,116229,116389,16.900000000000002,WT,15m
116690,CT,1,76.0,25311.00,47.540000000000006,105,TARGET_1,38.0,TARGET_2,76.0,89.0,101.0,38,76,120,116692,116796,17.86,CT,30m
116835,WTNT,1,66.0,25350.75,40.89,2,TARGET_1,33.0,TARGET_2,66.0,73.0,12.0,33,66,120,116836,116837,17.86,WT,30m
117085,CT,1,211.0,25382.50,137.65000000000003,96,TARGET_1,106.0,TARGET_2,211.0,213.0,60.0,106,211,316,117086,117181,19.87,CT,90m
117888,WTNT,1,231.0,25255.75,150.95,136,TARGET_1,116.0,TARGET_2,231.0,244.0,87.0,116,231,346,117889,118024,16.900000000000002,WT,90m
118447,CT,1,350.0,25295.50,229.75,115,TARGET_1,175.0,TARGET_2,350.0,358.0,112.0,175,350,525,118448,118562,21.590000000000003,CT,30m
118662,CT,1,393.0,25364.50,226.99,161,TARGET_1,196.0,END_OF_DATA,299.0,335.0,168.0,196,393,590,118664,118824,18.62,CT,30m
118914,WTNT,-1,138.0,25444.00,-210.0,69,STOP,-207.0,STOP,-207.0,62.0,207.0,69,138,207,118915,118983,17.66,WT,15m
119044,WTNT,-1,254.0,25482.00,165.91000000000003,150,TARGET_1,127.0,TARGET_2,254.0,254.0,43.0,127,254,381,119045,119194,19.380000000000003,WT,30m
121767,CT,1,431.0,25603.00,149.0,161,END_OF_DATA,152.0,END_OF_DATA,152.0,186.0,108.0,216,431,646,121770,121930,16.900000000000002,CT,90m
123645,WTNT,-1,44.0,25673.75,26.26,53,TARGET_1,22.0,TARGET_2,44.0,46.0,46.0,22,44,120,123646,123698,17.66,WT,15m
123718,CT,1,42.0,25648.25,24.93,14,TARGET_1,21.0,TARGET_2,42.0,44.0,30.0,21,42,120,123719,123732,16.900000000000002,CT,15m
123781,CT,1,42.0,25648.25,24.93,38,TARGET_1,21.0,TARGET_2,42.0,42.0,49.0,21,42,120,123782,123819,19.87,CT,15m
127183,CT,1,187.0,25696.75,98.92000000000002,161,TARGET_1,94.0,END_OF_DATA,118.0,176.0,128.0,94,187,280,127185,127345,16.900000000000002,CT,15m
127419,CT,1,119.0,25728.50,32.580000000000005,161,TARGET_1,60.0,END_OF_DATA,-14.0,61.0,104.0,60,119,178,127421,127581,16.900000000000002,CT,15m
131087,WTNT,-1,112.0,25705.50,69.83000000000001,161,TARGET_1,56.0,END_OF_DATA,107.0,111.0,66.0,56,112,168,131088,131248,19.11,WT,90m
137875,WTNT,-1,330.0,25296.75,-83.0,161,END_OF_DATA,-80.0,END_OF_DATA,-80.0,15.0,303.0,165,330,495,137876,138036,17.66,WT,15m
138377,CT,1,201.0,25184.50,101.95,161,TARGET_1,100.0,END_OF_DATA,115.0,154.0,156.0,100,201,302,138378,138538,16.900000000000002,CT,15m
