index,cycle,cpp_event,cpp_side,cpp_price,cpp_posqty,cpp_pnl,py_event,py_side,py_price,py_posqty,py_pnl,match,mismatch_detail
108,33,REVERSAL_ENTRY,LONG,24272.5,1.0,0.0,REVERSAL_ENTRY,LONG,24267.25,1.0,0.0,PRICE_OFFSET,price_delta=5.25
109,33,REVERSAL,LONG,24298.0,1.0,99.0,REVERSAL,LONG,24292.5,1.0,101.0,PRICE_OFFSET,price_delta=5.50
110,34,REVERSAL_ENTRY,SHORT,24298.0,1.0,0.0,REVERSAL_ENTRY,SHORT,24292.5,1.0,0.0,PRICE_OFFSET,price_delta=5.50
111,34,REVERSAL,SHORT,24271.75,-1.0,102.0,REVERSAL,SHORT,24267.25,-1.0,101.0,PRICE_OFFSET,price_delta=4.50
112,35,REVERSAL_ENTRY,LONG,24271.75,1.0,0.0,REVERSAL_ENTRY,LONG,24267.25,1.0,0.0,PRICE_OFFSET,price_delta=4.50
113,35,REVERSAL,LONG,24296.75,1.0,96.0,REVERSAL,LONG,24292.75,1.0,102.0,PRICE_OFFSET,price_delta=4.00
114,36,REVERSAL_ENTRY,SHORT,24296.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24292.75,1.0,0.0,PRICE_OFFSET,price_delta=4.00
115,36,ADD,SHORT,24321.75,-2.0,0.0,ADD,SHORT,24318.0,-2.0,0.0,PRICE_OFFSET,price_delta=3.75
116,36,ADD,SHORT,24346.75,-3.0,0.0,ADD,SHORT,24343.25,-3.0,0.0,PRICE_OFFSET,price_delta=3.50
117,36,REVERSAL,SHORT,24321.75,-3.0,-1.3,REVERSAL,SHORT,24318.0,-3.0,0.0,PRICE_OFFSET,price_delta=3.75
118,37,REVERSAL_ENTRY,LONG,24321.75,1.0,0.0,REVERSAL_ENTRY,LONG,24318.0,1.0,0.0,PRICE_OFFSET,price_delta=3.75
119,37,REVERSAL,LONG,24346.75,1.0,98.0,REVERSAL,LONG,24343.25,1.0,101.0,PRICE_OFFSET,price_delta=3.50
120,38,REVERSAL_ENTRY,SHORT,24347.25,1.0,0.0,REVERSAL_ENTRY,SHORT,24343.25,1.0,0.0,PRICE_OFFSET,price_delta=4.00
121,38,REVERSAL,SHORT,24320.75,-1.0,105.0,REVERSAL,SHORT,24318.0,-1.0,101.0,TOLERANCE,
122,39,REVERSAL_ENTRY,LONG,24320.75,1.0,0.0,REVERSAL_ENTRY,LONG,24318.0,1.0,0.0,TOLERANCE,
123,39,REVERSAL,LONG,24346.0,1.0,99.0,REVERSAL,LONG,24343.25,1.0,101.0,TOLERANCE,
