config_id,label,sd,hs,mcs,time_block,cycle_count,reversals,hard_stops,eod_flattens,win_rate,net_er,total_net_pnl,avg_depth,pct_d0,pct_d1_plus
107,depth_1,30.00,360.00,2,14:30-15:00,76,68,3,5,0.92,343.62,26115.50,0.41,0.59,0.41
107,depth_1,30.00,360.00,2,15:00-15:30,64,48,6,10,0.81,62.60,4006.50,0.42,0.58,0.42
107,depth_1,30.00,360.00,2,15:30-15:50,39,18,0,21,0.69,20.73,808.50,0.26,0.74,0.26
34,depth_1,15.00,150.00,2,09:30-10:00,1072,881,191,0,0.82,-24.59,-26359.00,0.51,0.49,0.51
34,depth_1,15.00,150.00,2,10:00-10:30,822,692,130,0,0.84,12.20,10026.00,0.46,0.54,0.46
34,depth_1,15.00,150.00,2,10:30-11:00,584,482,102,0,0.83,-17.99,-10503.50,0.51,0.49,0.51
34,depth_1,15.00,150.00,2,11:00-11:30,625,520,105,0,0.83,-5.97,-3729.50,0.47,0.53,0.47
34,depth_1,15.00,150.00,2,11:30-12:00,566,484,82,0,0.86,35.71,20210.50,0.48,0.52,0.48
34,depth_1,15.00,150.00,2,12:00-12:30,442,370,72,0,0.84,3.16,1397.50,0.50,0.50,0.50
34,depth_1,15.00,150.00,2,12:30-13:00,389,318,71,0,0.82,-32.06,-12472.50,0.53,0.47,0.53
34,depth_1,15.00,150.00,2,13:00-13:30,375,330,45,0,0.88,80.35,30131.50,0.50,0.50,0.50
34,depth_1,15.00,150.00,2,13:30-14:00,286,232,54,0,0.81,-43.23,-12362.50,0.52,0.48,0.52
34,depth_1,15.00,150.00,2,14:00-14:30,349,311,35,3,0.89,109.63,38262.50,0.45,0.55,0.45
34,depth_1,15.00,150.00,2,14:30-15:00,352,298,51,3,0.85,30.12,10601.50,0.51,0.49,0.51
34,depth_1,15.00,150.00,2,15:00-15:30,283,244,32,7,0.87,72.80,20601.00,0.43,0.57,0.43
34,depth_1,15.00,150.00,2,15:30-15:50,175,113,19,43,0.75,-14.08,-2464.00,0.45,0.55,0.45
109,depth_2,30.00,225.00,4,09:30-10:00,345,300,45,0,0.87,-71.33,-24608.00,0.76,0.50,0.50
109,depth_2,30.00,225.00,4,10:00-10:30,253,226,27,0,0.89,49.53,12530.50,0.70,0.53,0.47
109,depth_2,30.00,225.00,4,10:30-11:00,165,145,19,1,0.88,-15.70,-2590.50,0.72,0.52,0.48
109,depth_2,30.00,225.00,4,11:00-11:30,164,144,20,0,0.88,-27.85,-4568.00,0.71,0.52,0.48
109,depth_2,30.00,225.00,4,11:30-12:00,160,145,15,0,0.91,115.75,18520.00,0.71,0.51,0.49
109,depth_2,30.00,225.00,4,12:00-12:30,119,110,9,0,0.92,208.78,24844.50,0.66,0.55,0.45
109,depth_2,30.00,225.00,4,12:30-13:00,131,112,18,1,0.85,-117.97,-15454.50,0.79,0.47,0.53
109,depth_2,30.00,225.00,4,13:00-13:30,98,92,6,0,0.94,283.76,27808.50,0.58,0.56,0.44
109,depth_2,30.00,225.00,4,13:30-14:00,90,76,12,2,0.84,-109.29,-9836.50,0.81,0.48,0.52
109,depth_2,30.00,225.00,4,14:00-14:30,88,76,3,9,0.89,308.28,27128.50,0.62,0.56,0.44
109,depth_2,30.00,225.00,4,14:30-15:00,101,87,9,5,0.89,115.49,11664.00,0.63,0.57,0.43
109,depth_2,30.00,225.00,4,15:00-15:30,70,58,5,7,0.89,134.11,9388.00,0.67,0.54,0.46
109,depth_2,30.00,225.00,4,15:30-15:50,48,16,2,30,0.65,-121.09,-5812.50,0.44,0.69,0.31
86,depth_2,25.00,225.00,4,09:30-10:00,404,356,48,0,0.88,-100.76,-40706.00,0.89,0.44,0.56
86,depth_2,25.00,225.00,4,10:00-10:30,306,274,32,0,0.90,-28.59,-8747.50,0.75,0.51,0.49
86,depth_2,25.00,225.00,4,10:30-11:00,229,207,22,0,0.90,13.23,3030.50,0.73,0.53,0.47
86,depth_2,25.00,225.00,4,11:00-11:30,243,220,22,1,0.91,30.24,7349.00,0.76,0.49,0.51
86,depth_2,25.00,225.00,4,11:30-12:00,214,195,19,0,0.91,50.43,10791.50,0.73,0.51,0.49
86,depth_2,25.00,225.00,4,12:00-12:30,176,160,16,0,0.91,40.70,7163.50,0.70,0.53,0.47
86,depth_2,25.00,225.00,4,12:30-13:00,149,128,20,1,0.86,-189.94,-28301.00,0.84,0.44,0.56
86,depth_2,25.00,225.00,4,13:00-13:30,150,143,7,0,0.95,262.14,39320.50,0.58,0.55,0.45
86,depth_2,25.00,225.00,4,13:30-14:00,121,108,12,1,0.89,-7.05,-853.50,0.80,0.47,0.53
86,depth_2,25.00,225.00,4,14:00-14:30,120,114,5,1,0.96,281.99,33838.50,0.69,0.53,0.47
86,depth_2,25.00,225.00,4,14:30-15:00,151,137,10,4,0.91,144.87,21875.00,0.60,0.58,0.42
86,depth_2,25.00,225.00,4,15:00-15:30,115,93,6,16,0.87,130.21,14974.00,0.54,0.63,0.37
86,depth_2,25.00,225.00,4,15:30-15:50,73,38,2,33,0.70,-62.82,-4586.00,0.56,0.60,0.40
36,depth_2,15.00,90.00,4,09:30-10:00,1428,1050,378,0,0.74,-21.53,-30738.50,0.51,0.49,0.51
36,depth_2,15.00,90.00,4,10:00-10:30,1073,834,239,0,0.78,29.59,31745.50,0.47,0.53,0.47
36,depth_2,15.00,90.00,4,10:30-11:00,757,557,200,0,0.74,-21.53,-16301.00,0.50,0.50,0.50
36,depth_2,15.00,90.00,4,11:00-11:30,776,578,198,0,0.74,-10.24,-7943.50,0.48,0.52,0.48
36,depth_2,15.00,90.00,4,11:30-12:00,683,525,158,0,0.77,18.08,12349.00,0.50,0.50,0.50
36,depth_2,15.00,90.00,4,12:00-12:30,563,423,140,0,0.75,-2.75,-1546.50,0.53,0.47,0.53
36,depth_2,15.00,90.00,4,12:30-13:00,518,388,130,0,0.75,-4.77,-2469.00,0.49,0.51,0.49
36,depth_2,15.00,90.00,4,13:00-13:30,498,400,98,0,0.80,59.87,29813.00,0.47,0.53,0.47
36,depth_2,15.00,90.00,4,13:30-14:00,416,313,103,0,0.75,-1.32,-550.00,0.49,0.51,0.49
36,depth_2,15.00,90.00,4,14:00-14:30,405,313,91,1,0.77,24.86,10069.00,0.47,0.53,0.47
36,depth_2,15.00,90.00,4,14:30-15:00,477,370,107,0,0.78,27.19,12969.00,0.46,0.54,0.46
36,depth_2,15.00,90.00,4,15:00-15:30,345,268,74,3,0.78,35.53,12257.00,0.44,0.56,0.44
36,depth_2,15.00,90.00,4,15:30-15:50,261,174,39,48,0.72,43.31,11305.00,0.42,0.58,0.42
141,depth_3,50.00,700.00,8,09:30-10:00,134,125,4,5,0.93,-206.18,-27628.50,0.99,0.47,0.53
141,depth_3,50.00,700.00,8,10:00-10:30,77,75,1,1,0.97,570.88,43957.50,0.78,0.45,0.55
141,depth_3,50.00,700.00,8,10:30-11:00,49,46,3,0,0.94,-784.85,-38457.50,0.78,0.55,0.45
141,depth_3,50.00,700.00,8,11:00-11:30,55,47,2,6,0.89,-401.20,-22066.00,1.04,0.44,0.56
141,depth_3,50.00,700.00,8,11:30-12:00,41,39,0,2,0.95,886.77,36357.50,0.71,0.61,0.39
141,depth_3,50.00,700.00,8,12:00-12:30,45,43,0,2,0.96,842.13,37896.00,0.67,0.58,0.42
141,depth_3,50.00,700.00,8,12:30-13:00,43,41,0,2,0.98,698.76,30046.50,0.88,0.53,0.47
141,depth_3,50.00,700.00,8,13:00-13:30,31,26,1,4,0.87,-229.79,-7123.50,0.77,0.55,0.45
141,depth_3,50.00,700.00,8,13:30-14:00,22,17,1,4,0.77,-1397.64,-30748.00,1.05,0.55,0.45
141,depth_3,50.00,700.00,8,14:00-14:30,28,19,0,9,0.79,597.77,16737.50,0.46,0.68,0.32
141,depth_3,50.00,700.00,8,14:30-15:00,16,12,0,4,0.75,45.97,735.50,1.06,0.44,0.56
141,depth_3,50.00,700.00,8,15:00-15:30,19,13,0,6,0.79,351.66,6681.50,0.47,0.68,0.32
141,depth_3,50.00,700.00,8,15:30-15:50,19,6,0,13,0.63,-135.32,-2571.00,0.26,0.84,0.16
19,depth_3,10.00,88.00,8,09:30-10:00,2731,2579,152,0,0.94,-11.72,-32008.50,0.86,0.51,0.49
19,depth_3,10.00,88.00,8,10:00-10:30,1989,1895,94,0,0.95,21.24,42252.50,0.81,0.52,0.48
19,depth_3,10.00,88.00,8,10:30-11:00,1410,1333,77,0,0.95,-8.46,-11935.00,0.90,0.49,0.51
19,depth_3,10.00,88.00,8,11:00-11:30,1448,1377,71,0,0.95,11.81,17101.50,0.84,0.52,0.48
19,depth_3,10.00,88.00,8,11:30-12:00,1310,1243,67,0,0.95,3.62,4739.00,0.85,0.51,0.49
19,depth_3,10.00,88.00,8,12:00-12:30,1066,1012,54,0,0.95,6.51,6938.00,0.84,0.53,0.47
19,depth_3,10.00,88.00,8,12:30-13:00,967,913,54,0,0.94,-13.55,-13100.50,0.86,0.51,0.49
19,depth_3,10.00,88.00,8,13:00-13:30,918,884,34,0,0.96,57.23,52533.50,0.86,0.49,0.51
19,depth_3,10.00,88.00,8,13:30-14:00,759,721,38,0,0.95,9.74,7392.50,0.89,0.49,0.51
19,depth_3,10.00,88.00,8,14:00-14:30,794,766,28,0,0.96,63.85,50700.50,0.81,0.52,0.48
19,depth_3,10.00,88.00,8,14:30-15:00,878,840,37,1,0.96,37.60,33010.00,0.83,0.51,0.49
19,depth_3,10.00,88.00,8,15:00-15:30,653,623,27,3,0.95,36.76,24005.00,0.81,0.52,0.48
19,depth_3,10.00,88.00,8,15:30-15:50,466,402,10,54,0.90,57.51,26797.50,0.82,0.52,0.48
23,depth_3,10.00,210.00,8,09:30-10:00,2292,2227,65,0,0.97,-48.61,-111421.00,0.86,0.51,0.49
23,depth_3,10.00,210.00,8,10:00-10:30,1715,1681,34,0,0.98,27.37,46935.00,0.82,0.51,0.49
23,depth_3,10.00,210.00,8,10:30-11:00,1214,1186,28,0,0.98,-3.39,-4121.50,0.90,0.48,0.52
23,depth_3,10.00,210.00,8,11:00-11:30,1257,1234,23,0,0.98,37.45,47069.50,0.86,0.51,0.49
23,depth_3,10.00,210.00,8,11:30-12:00,1085,1062,23,0,0.98,11.58,12568.50,0.83,0.53,0.47
23,depth_3,10.00,210.00,8,12:00-12:30,937,921,16,0,0.98,48.24,45199.50,0.81,0.54,0.46
23,depth_3,10.00,210.00,8,12:30-13:00,753,736,17,0,0.98,0.40,301.50,0.88,0.51,0.49
23,depth_3,10.00,210.00,8,13:00-13:30,765,754,11,0,0.99,71.58,54756.50,0.87,0.49,0.51
23,depth_3,10.00,210.00,8,13:30-14:00,628,611,17,0,0.97,-37.84,-23765.50,0.89,0.50,0.50
23,depth_3,10.00,210.00,8,14:00-14:30,647,637,10,0,0.98,62.64,40527.00,0.85,0.50,0.50
23,depth_3,10.00,210.00,8,14:30-15:00,756,748,6,2,0.99,118.96,89935.50,0.87,0.48,0.52
23,depth_3,10.00,210.00,8,15:00-15:30,588,576,9,3,0.98,56.11,32995.00,0.77,0.53,0.47
23,depth_3,10.00,210.00,8,15:30-15:50,408,352,3,53,0.90,44.76,18262.50,0.81,0.51,0.49
